transcript_id;mi_quality;Client Talk Type
3;high;neutral
4;high;neutral
6;high;sustain
7;high;neutral
8;high;neutral
10;low;sustain
11;high;neutral
12;high;neutral
13;high;change
14;high;sustain
16;high;neutral
19;high;sustain
20;high;neutral
21;high;sustain
22;high;neutral
23;high;neutral
24;high;neutral
25;high;neutral
26;high;neutral
27;low;sustain
28;high;sustain
32;low;sustain
33;high;neutral
34;high;neutral
35;high;neutral
36;high;neutral
38;high;neutral
40;high;sustain
41;high;change
42;high;sustain
43;high;neutral
44;low;neutral
45;high;change
46;high;neutral
49;high;neutral
50;high;change
51;high;sustain
53;low;neutral
54;high;neutral
56;high;change
57;low;sustain
61;high;neutral
62;high;neutral
63;high;change
64;high;neutral
65;high;change
66;high;sustain
67;high;neutral
68;high;neutral
69;low;sustain
70;high;neutral
71;high;neutral
72;low;sustain
73;high;neutral
76;high;neutral
78;high;neutral
79;high;change
80;high;change
81;high;change
82;high;neutral
83;high;change
86;high;change
87;high;sustain
88;high;sustain
90;low;sustain
91;high;neutral
93;high;change
94;high;neutral
95;high;neutral
96;high;neutral
97;high;change
98;high;neutral
99;high;neutral
100;high;sustain
102;low;neutral
104;high;change
105;high;neutral
106;low;sustain
108;high;change
109;high;neutral
111;high;change
112;high;change
113;high;neutral
114;high;neutral
115;low;neutral
116;high;sustain
117;high;neutral
119;high;change
120;high;neutral
121;high;change
122;high;neutral
123;low;sustain
125;high;neutral
126;low;neutral
131;low;sustain
132;high;neutral
133;high;sustain
