transcript_id;mi_quality;Client Talk Type
3;high;sustain
4;high;neutral
6;high;sustain
7;high;neutral
8;high;neutral
10;low;sustain
11;high;change
12;high;neutral
13;high;change
14;high;sustain
16;high;neutral
19;high;neutral
20;high;neutral
21;high;neutral
22;high;change
23;high;neutral
24;high;sustain
25;high;neutral
26;high;change
27;low;neutral
28;high;neutral
32;low;sustain
33;high;change
34;high;neutral
35;high;neutral
36;high;change
38;high;neutral
40;high;neutral
41;high;change
42;high;sustain
43;high;neutral
44;low;neutral
45;high;change
46;high;change
49;high;neutral
50;high;change
51;high;neutral
53;low;neutral
54;high;change
56;high;change
57;low;sustain
61;high;neutral
62;high;change
63;high;change
64;high;neutral
65;high;change
66;high;neutral
67;high;neutral
68;high;change
69;low;sustain
70;high;change
71;high;neutral
72;low;neutral
73;high;change
76;high;neutral
78;high;neutral
79;high;change
80;high;change
81;high;change
82;high;neutral
83;high;change
86;high;change
87;high;neutral
88;high;neutral
90;low;sustain
91;high;change
93;high;change
94;high;change
95;high;neutral
96;high;neutral
97;high;change
98;high;neutral
99;high;neutral
100;high;sustain
102;low;change
104;high;change
105;high;neutral
106;low;sustain
108;high;change
109;high;neutral
111;high;neutral
112;high;change
113;high;neutral
114;high;change
115;low;neutral
116;high;neutral
117;high;neutral
119;high;change
120;high;neutral
121;high;neutral
122;high;change
123;low;sustain
125;high;neutral
126;low;change
131;low;neutral
132;high;neutral
133;high;neutral
